BuyerRef	DeliveryDate	PaymentDuration	TotalPrice
32	2005-04-05	48	53456.57
32	2004-10-29	47	261440.91
32	2003-05-08	45	222892.21
32	2004-12-18	44	49249.78
32	2004-01-24	43	19497.14
32	2005-07-16	35	486136.01
32	2004-10-17	26	119860.31
32	2003-12-06	19	30026.26
32	2004-10-05	13	24329.88
32	2005-03-04	13	215751.75
33	2003-11-30	92	509744.71
33	2003-10-28	68	238935.63
33	2003-10-22	65	14677.94
33	2005-03-30	63	299262.13
33	2004-11-16	59	63605.46
33	2004-10-25	45	535167.92
33	2004-05-17	42	207825.63
33	2005-07-03	42	28618.46
33	2004-02-13	37	61410.75
33	2003-12-13	27	9659.97
33	2003-04-11	24	110745.27
33	2004-12-18	23	148333.22
33	2003-07-23	20	120751.69
33	2004-06-30	8	154390.94
33	2004-03-14	5	208954.98
34	2004-09-27	88	19828.72
34	2004-02-01	81	233580.56
34	2004-04-21	64	38915.61
34	2005-04-12	61	32787.5
34	2005-05-18	56	189738.12
34	2004-02-18	53	133421.66
34	2003-11-18	49	322621.82
34	2004-12-10	47	261080.82
34	2004-06-18	32	302007.72
34	2003-09-24	24	196535.72
34	2005-03-20	20	306487.23
34	2004-03-13	9	155657.73
34	2004-09-06	5	247830.8
34	2004-01-08	3	117813.78
35	2004-07-29	85	55058.97
35	2004-10-17	67	196099.24
35	2003-02-20	65	20466.71
35	2003-11-06	54	11555
35	2004-10-01	53	77848.96
35	2005-03-23	51	132724.71
35	2003-01-21	50	1009243.67
35	2005-08-01	48	116800.93
35	2003-06-25	47	31775.05
35	2003-07-14	44	16279.89
35	2004-12-30	44	74735.33
35	2005-07-13	40	70101.03
35	2003-06-25	23	79333.23
35	2005-01-16	7	187717.64
35	2003-05-04	2	116495.81
36	2003-12-20	120	31705.99
36	2003-12-03	83	116525.52
36	2003-09-12	62	34289.76
36	2003-07-06	59	17880.92
36	2004-12-11	47	243049.56
36	2004-12-12	44	86069.43
36	2005-01-01	37	250714.98
36	2005-05-14	24	39407.69
36	2003-04-29	23	81547.11
36	2004-01-21	16	42427.11
36	2003-09-26	12	375635.56
36	2004-07-05	9	32722.86
37	2005-03-17	86	137075.83
37	2003-12-16	78	35330.61
37	2005-07-03	70	163808.37
37	2004-05-24	65	48834.44
37	2005-06-13	65	237529.2
37	2004-02-01	56	59569.53
37	2003-02-20	54	174612.59
37	2003-08-16	47	7835.94
37	2003-03-27	46	15569.54
37	2003-08-13	43	297841.3
37	2005-01-13	40	15976.68
37	2004-11-23	39	97515.45
37	2004-09-29	24	207132.67
37	2005-03-26	20	115362.84
37	2004-12-31	10	72986.8
37	2004-06-11	9	24562.99
37	2003-07-16	1	8226.93
38	2005-07-25	83	12958.48
38	2004-04-01	63	127854.94
38	2005-02-23	62	198382.92
38	2003-07-13	61	113262.79
38	2004-09-26	57	272268.15
38	2005-05-24	56	302546.87
38	2003-04-06	53	24142.14
38	2003-03-17	48	51536.4
38	2003-08-02	47	42464.44
38	2003-12-02	46	33661.76
38	2004-06-03	44	38758.45
38	2005-05-23	43	54524.36
38	2004-05-24	39	158579.41
38	2004-08-09	39	289676.8
38	2004-11-24	23	148060.5
38	2003-03-13	20	234930
38	2004-08-08	8	100114.33
39	2005-02-18	112	33432.5
39	2005-03-19	103	48542.63
39	2005-07-20	70	44357.34
39	2005-02-17	57	132734.19
39	2003-07-13	49	78481.29
39	2004-06-22	48	233676.68
39	2003-11-01	38	419390
39	2004-06-03	36	138163.11
39	2004-04-03	29	5980.39
39	2004-11-15	29	522238.22
39	2004-07-11	28	314887.02
39	2004-01-17	26	56910.84
39	2004-10-18	25	44939.12
39	2003-07-13	18	16763.87
39	2004-12-26	10	390997.98
39	2003-05-28	7	37695.51
39	2004-03-11	6	160301.46
40	2005-03-17	90	307143.91
40	2003-09-22	67	252468.58
40	2004-07-03	58	201245.72
40	2003-06-03	8	4358.67
40	2004-07-16	6	19394.32
40	2003-09-08	1	108741.84
41	2004-09-18	106	6005.21
41	2003-03-15	83	695920.67
41	2005-06-27	78	54064.57
41	2005-01-15	74	10392.47
41	2003-01-20	60	26464.92
41	2003-12-20	53	194805.83
41	2003-09-29	52	63754.38
41	2005-04-15	42	111386.42
41	2005-05-31	38	53841.27
41	2005-02-21	34	27095.12
41	2003-04-29	30	387024.45
41	2003-07-03	23	122562.54
41	2004-09-27	7	16530.52
41	2003-06-10	5	209500.36
41	2003-04-24	2	111071.72
42	2003-04-21	124	27806.84
42	2003-03-23	92	77408.25
42	2005-01-03	86	751.41
42	2005-05-29	82	310943.54
42	2004-05-27	77	82656.18
42	2005-05-20	70	33603.56
42	2005-06-08	59	85722.5
42	2004-12-11	56	52473.39
42	2005-06-17	54	53834.14
42	2004-11-23	47	804.24
42	2004-04-29	44	268779.84
42	2005-02-19	38	44953.23
42	2005-01-10	28	5864.65
42	2005-01-08	18	190182.34
42	2004-02-04	11	163851.07
43	2005-05-20	111	16664.74
43	2003-04-19	71	98860
43	2003-07-22	71	216349.8
43	2005-02-28	68	27137.56
43	2004-09-22	57	134855.94
43	2004-01-12	56	31747.75
43	2005-06-17	50	106978.22
43	2004-03-03	40	381501.63
43	2004-10-11	40	49853.25
43	2005-02-13	37	266073.2
43	2004-08-10	37	103052.82
43	2003-06-23	29	165014.81
43	2003-08-09	28	126648.85
43	2005-05-08	28	30296.21
43	2005-02-23	26	82438.52
43	2004-03-25	19	267087.46
43	2003-06-30	17	112488.69
43	2004-07-21	16	30599.63
43	2003-12-03	12	233373.1
43	2003-06-04	8	81357.23
44	2005-02-16	108	7990.84
44	2004-12-02	98	27835.17
44	2003-05-29	87	18424.13
44	2003-04-29	77	6212.12
44	2005-07-17	55	253170.74
44	2005-04-06	37	122934.26
44	2004-10-19	29	62708.05
44	2005-07-21	26	278646.79
44	2004-03-07	14	51215.56
44	2003-09-25	13	132378.52
44	2004-02-17	11	177697.02
44	2004-01-13	9	135409.19
44	2004-08-04	1	2338.8
45	2004-09-04	78	10126.22
45	2004-10-23	76	33610.19
45	2005-06-28	76	139022.02
45	2003-06-17	64	35522.52
45	2004-12-03	61	102602.21
45	2003-10-19	48	138090.76
45	2003-07-26	39	63197.08
45	2004-09-25	37	110720.98
45	2003-09-18	19	813349.04
45	2004-07-01	12	57992.46
45	2004-05-14	8	149673.63
45	2004-08-21	2	174863.01
46	2005-04-24	118	176453.22
46	2003-12-15	107	293367.86
46	2005-06-29	66	90520.52
46	2003-12-25	64	30155.29
46	2004-06-22	54	177209.56
46	2003-12-17	53	24869.16
46	2004-02-23	54	35820.53
46	2004-05-05	47	43423.08
46	2003-05-21	45	194503.36
46	2003-03-01	30	571.12
46	2003-05-13	28	12084.75
46	2004-09-02	9	95869.93
47	2004-05-31	66	164210.5
47	2004-07-03	61	150467.65
47	2005-03-03	50	9740.87
47	2004-12-03	40	47234.09
47	2004-11-12	38	298049.13
47	2004-05-04	12	53955.49
47	2004-06-23	8	5646.9
47	2004-03-24	7	59017.26
47	2004-11-11	4	35305.22
47	2003-03-18	3	228633.75
47	2005-06-11	3	132708.58
47	2003-07-01	2	12186.31
47	2004-02-04	1	341628.94
48	2004-05-01	95	193478.51
48	2004-05-12	87	16105.2
48	2005-02-01	65	274905.59
48	2004-03-28	54	145473.71
48	2004-07-22	51	127319.66
48	2004-02-03	51	2948.88
48	2005-05-23	48	278420.32
48	2004-03-07	47	55175.61
48	2004-05-24	44	5546.05
48	2003-07-07	27	1524711
48	2005-02-19	25	35930.16
48	2004-10-15	24	82128.99
48	2005-04-11	20	18209.5
48	2005-03-13	5	148884.64
48	2005-06-13	5	28345.02
48	2004-04-01	4	130894.74
48	2005-01-12	1	49919.87
49	2005-01-13	112	238146.55
49	2004-10-14	87	21701.59
49	2003-10-09	82	15291.78
49	2005-05-26	58	40360.06
49	2005-07-17	56	54700.22
49	2004-03-28	53	61664.64
49	2003-06-26	48	8227.92
49	2003-08-10	43	4368
49	2003-12-27	42	142588.08
49	2003-12-03	37	31541.77
49	2005-01-23	30	276849.81
49	2004-06-23	26	73704.27
49	2004-04-30	17	37035.25
49	2003-11-09	9	120816.41
49	2003-12-15	8	9596.21
50	2003-03-09	103	56655.77
50	2005-03-20	89	125228.62
50	2004-11-14	72	35123.12
50	2003-07-31	54	21723.52
50	2004-04-27	49	101072.2
50	2003-09-25	42	183138.59
50	2005-02-18	38	525485.97
50	2004-03-06	38	158960.44
50	2005-02-06	34	109460.63
50	2005-07-25	27	105506.1
50	2003-09-19	15	183979.76
50	2003-05-29	11	144389.4
50	2003-11-21	10	154177.6
50	2004-10-03	8	47942.9
50	2003-09-20	4	87313.18
50	2004-07-06	1	82235.84
51	2005-06-20	81	76108.36
51	2004-02-12	81	134426.16
51	2003-03-27	73	34021.38
51	2004-02-10	70	147922.45
51	2005-06-30	67	351360.82
51	2004-05-26	66	19710.42
51	2005-07-15	62	22628.5
51	2003-10-20	61	218180.28
51	2005-06-02	59	160314.31
51	2004-07-03	48	182985.65
51	2004-09-29	48	228545.53
51	2004-11-06	43	65445.36
51	2004-02-09	39	19993.19
51	2003-08-16	23	17730.92
51	2004-08-26	23	118641.77
51	2003-09-27	21	473052.3
51	2005-04-21	10	7696.95
51	2003-09-07	9	32389.48
51	2004-03-29	8	19875.04
51	2004-08-02	7	80354.43
51	2003-11-26	5	206851.43
52	2004-11-03	103	230035.98
52	2004-01-19	70	257985.07
52	2004-10-24	62	170992.89
52	2004-10-31	62	215619.73
52	2004-04-08	61	101149.09
52	2003-08-29	52	38516.46
52	2003-08-25	51	118412.51
52	2004-07-30	44	163264.66
52	2003-06-12	42	223118.83
52	2003-06-26	40	35010.29
52	2004-06-20	30	35279.81
52	2004-06-24	12	99134.04
52	2004-01-17	11	264486.06
52	2004-03-16	10	143057.21
52	2005-05-05	6	42172.57
52	2003-03-30	2	22675.47
53	2004-06-22	90	122602.88
53	2005-05-20	65	194000.89
53	2004-07-14	38	49932.31
53	2005-03-04	38	54283.93
53	2004-07-13	19	389989.08
53	2005-04-06	19	194008.23
53	2004-01-19	10	84842.98
54	2004-02-07	63	5161
54	2005-03-05	48	107209.15
54	2004-04-27	43	61511.05
54	2005-06-30	43	63514.32
54	2003-12-27	42	80811.47
54	2003-05-11	41	41019.36
54	2004-01-09	29	197695.28
54	2004-01-10	22	216330.02
54	2004-04-22	17	90587.82
54	2003-04-25	14	96308.36
54	2004-12-14	9	310765.02
55	2003-11-20	118	419622.31
55	2005-02-18	97	109145.33
55	2004-08-24	66	126308.34
55	2004-06-14	57	372421.23
55	2004-11-22	38	776930.65
55	2004-06-08	26	208936.96
55	2004-02-16	17	439630.86
56	2003-05-30	103	17929.57
56	2003-04-04	85	32966.61
56	2005-01-20	77	172852.37
56	2003-04-20	70	24906.07
56	2004-07-16	64	400207.03
56	2004-07-30	53	219620.82
56	2005-06-26	51	37190.74
56	2003-12-19	39	44928.78
56	2004-07-18	20	146360.41
56	2003-07-20	13	279821.64
56	2003-09-04	5	299196.06
57	2004-05-11	77	141263.3
57	2005-05-15	57	31681.66
57	2003-04-03	51	18001.15
57	2005-05-12	46	10263.58
57	2003-09-24	40	9291.2
57	2005-02-28	37	24669.08
57	2004-01-24	27	46983.07
57	2004-10-30	23	159049.82
57	2003-12-28	16	384573.69
57	2004-04-04	16	77921.72
57	2004-08-28	9	2526.48
57	2004-08-09	3	328925.63
57	2005-05-17	1	64680.74
58	2003-02-08	96	106819.48
58	2004-12-24	65	170138.04
58	2005-04-21	59	127160.7
58	2004-03-05	48	104798.47
58	2005-04-02	43	102467.18
58	2003-11-16	37	39496.62
58	2004-03-16	37	75287.61
58	2003-04-10	26	287063.29
58	2004-12-12	25	33910
58	2003-03-21	23	152880.35
59	2004-09-25	119	72307.68
59	2004-11-22	79	163747.97
59	2003-01-16	72	53640.74
59	2004-12-26	60	451361.46
59	2004-10-08	51	297706.03
59	2004-01-29	45	37157.31
59	2005-05-03	45	85907.54
59	2003-10-02	35	149055.5
59	2003-07-10	21	53773.26
59	2005-04-22	12	33788.88
59	2003-04-14	11	37596.57
59	2003-07-08	10	127408.8
59	2004-11-22	8	41978.27
59	2004-07-06	1	178525.67
60	2004-12-09	79	154581.58
60	2004-08-07	67	256975.56
60	2003-10-10	53	323655.25
60	2005-03-09	50	559694.98
60	2003-05-15	42	161708.78
60	2005-05-30	38	23727.56
60	2005-05-02	27	330737.63
60	2003-06-28	15	43543.83
60	2004-09-09	15	71825.12
60	2004-07-21	9	14590.47
60	2005-01-26	9	10431.96
60	2003-07-19	5	16746.89
60	2003-03-05	4	153434.64
60	2003-11-13	4	74078.34
61	2004-07-04	108	311651.9
61	2004-10-17	101	73009.48
61	2003-04-02	87	50576.16
61	2005-01-18	62	27938.35
61	2004-10-17	47	28854.39
61	2004-08-22	30	103909.26
61	2003-09-13	29	266231.73
61	2004-05-13	26	127859.58
61	2004-09-14	22	17464.95
61	2004-02-01	13	8256.5
61	2004-02-05	8	124978.64
61	2004-09-28	4	206822.99
61	2004-05-09	1	52151.48
62	2004-04-15	104	168100.64
62	2004-04-10	78	46797.73
62	2005-06-30	67	386777.74
62	2005-04-03	60	59567.06
62	2005-05-19	60	73327.57
62	2004-04-05	50	12819.03
62	2005-07-24	48	68183.81
62	2004-04-19	43	69496.61
62	2004-03-12	37	171585.77
62	2003-11-02	27	180285.85
62	2005-04-16	22	61299.26
62	2004-08-12	15	300234.83
62	2003-10-31	10	36960.78
62	2003-04-13	2	156044.38
62	2005-07-21	2	66858.12
63	2003-08-11	52	82150.39
63	2003-04-22	47	237529.75
63	2004-11-04	44	51196.36
63	2004-02-15	19	162119.8
63	2003-07-20	2	83230.16
64	2005-01-22	84	330106.62
64	2004-11-10	69	100063.2
64	2004-07-22	67	18612.18
64	2003-04-17	25	91110.6
64	2003-08-09	13	30888.73
64	2003-11-15	9	72796.09
64	2004-08-12	9	38309.61
65	2003-05-06	74	7071.38
65	2003-08-29	67	30211.14
65	2004-10-24	66	180028.7
65	2004-05-26	52	34704.75
65	2003-11-14	45	65462.84
65	2003-12-12	27	100142.25
65	2003-11-24	21	546963.55
66	2005-02-01	112	141396.79
66	2004-08-22	106	73074.95
