PRODUCT;STORE;TDATE;CUSTNUM;UNITS;PROMOTION
Zinfandel Blanc de Noir;NC2;2000-01-07 0:00:00;30;3;1
Cabernet Sauvignon;SE1;2000-01-05 0:00:00;31;3;1
Brut--Reserve;MW1;2000-01-02 0:00:00;31;1;1
Zinfandel Blanc;SW2;2000-01-28 0:00:00;31;4;1
Chablis;SW2;2000-01-17 0:00:00;31;2;1
Chablis;NC2;2000-01-06 0:00:00;31;5;1
Sauvignon Blanc;NC3;2000-01-22 0:00:00;31;3;1
Blanc de Blanc Brut;SW1;2000-01-09 0:00:00;32;3;1
Riesling;NE1;2000-01-25 0:00:00;33;3;1
Zinfandel Blanc;NE2;2000-01-15 0:00:00;33;4;1
Chardonnay;NW1;2000-01-18 0:00:00;33;3;1
Riesling;NC2;2000-01-29 0:00:00;34;1;1
Zinfandel Blanc de Noir;MC1;2000-01-05 0:00:00;34;5;1
Merlot;NE1;2000-01-31 0:00:00;35;4;1
Brut--Reserve;NW2;2000-01-27 0:00:00;35;3;1
Zinfandel Blanc;SW4;2000-01-12 0:00:00;35;2;1
Brut--Reserve;NC1;2000-01-06 0:00:00;35;3;1
Chardonnay;NC3;2000-01-31 0:00:00;35;3;1
Chablis;ME1;2000-01-06 0:00:00;36;3;1
Chardonnay;ME2;2000-01-06 0:00:00;36;2;1
Blanc de Blanc Brut;SW2;2000-01-18 0:00:00;36;3;1
Merlot;SW2;2000-01-04 0:00:00;36;2;1
Sauvignon Blanc;SW3;2000-01-13 0:00:00;36;2;1
Zinfandel Blanc;NC2;2000-01-25 0:00:00;36;3;1
Sauvignon Blanc;MC1;2000-01-26 0:00:00;36;5;1
Cabernet Sauvignon;MC2;2000-01-30 0:00:00;36;4;1
Merlot;NW2;2000-01-13 0:00:00;37;2;1
Riesling;NW2;2000-01-24 0:00:00;37;3;1
Merlot;NE1;2000-01-11 0:00:00;38;4;1
Blanc de Blanc Brut;SE3;2000-01-07 0:00:00;38;2;1
Riesling;NW2;2000-01-19 0:00:00;38;4;1
Claret;MW2;2000-01-16 0:00:00;38;3;1
Cabernet Sauvignon;NC3;2000-01-10 0:00:00;38;4;1
Sauvignon Blanc;NC3;2000-01-27 0:00:00;38;1;1
Zinfandel Blanc de Noir;NW3;2000-01-02 0:00:00;39;4;1
Chablis;MW3;2000-01-09 0:00:00;39;2;1
Sauvignon Blanc;SW1;2000-01-11 0:00:00;39;2;1
Merlot;NC3;2000-01-26 0:00:00;39;5;1
Cabernet Sauvignon;MC2;2000-01-30 0:00:00;39;2;1
Zinfandel Blanc de Noir;MC3;2000-01-15 0:00:00;39;2;1
Claret;NE3;2000-01-19 0:00:00;40;1;1
Merlot;ME2;2000-01-13 0:00:00;40;4;1
Riesling;SE2;2000-01-30 0:00:00;40;5;1
Merlot;NW2;2000-01-24 0:00:00;40;3;1
Cabernet Sauvignon;NW3;2000-01-22 0:00:00;40;2;1
Merlot;SW2;2000-01-20 0:00:00;40;3;1
Pinot Noir;SW3;2000-01-19 0:00:00;40;2;1
Chablis;SW3;2000-01-02 0:00:00;40;4;1
Chablis;SW4;2000-01-23 0:00:00;40;1;1
Cabernet Sauvignon;MC2;2000-01-12 0:00:00;40;1;1
Zinfandel Blanc;NE2;2000-01-21 0:00:00;41;1;1
Pinot Noir;ME2;2000-01-05 0:00:00;41;2;1
Zinfandel Blanc de Noir;NW3;2000-01-20 0:00:00;41;5;1
Pinot Noir;NW3;2000-01-30 0:00:00;41;1;1
Merlot;MW2;2000-01-10 0:00:00;41;1;1
Cabernet Sauvignon;SW4;2000-01-31 0:00:00;41;2;1
Pinot Noir;NC1;2000-01-26 0:00:00;41;4;1
Sauvignon Blanc;NC2;2000-01-26 0:00:00;41;3;1
Pinot Noir;NC3;2000-01-24 0:00:00;41;4;1
Riesling;NC3;2000-01-23 0:00:00;41;3;1
Zinfandel Blanc;NC3;2000-01-01 0:00:00;41;3;0
Zinfandel Blanc de Noir;NE2;2000-01-01 0:00:00;42;4;0
Brut--Reserve;NE2;2000-01-28 0:00:00;42;3;1
Blanc de Blanc Brut;NW1;2000-01-12 0:00:00;42;5;1
Cabernet Sauvignon;MW3;2000-01-10 0:00:00;42;5;1
Chardonnay;SW2;2000-01-18 0:00:00;42;4;1
Chablis;NC2;2000-01-12 0:00:00;42;2;1
Zinfandel Blanc;MC1;2000-01-03 0:00:00;42;4;1
Blanc de Blanc Brut;NE1;2000-01-28 0:00:00;43;2;1
Riesling;ME1;2000-01-25 0:00:00;43;3;1
Riesling;MW3;2000-01-01 0:00:00;43;2;0
Pinot Noir;SW2;2000-01-23 0:00:00;43;3;1
Merlot;SW4;2000-01-09 0:00:00;43;1;1
Riesling;NE3;2000-01-23 0:00:00;44;4;1
Zinfandel Blanc;SE3;2000-01-11 0:00:00;44;3;1
Cabernet Sauvignon;SW3;2000-01-08 0:00:00;44;2;1
Pinot Noir;SE2;2000-01-26 0:00:00;45;2;1
Merlot;SW2;2000-01-30 0:00:00;45;4;1
Chardonnay;MW1;2000-01-21 0:00:00;46;5;1
Brut--Reserve;SW1;2000-01-03 0:00:00;46;3;1
Riesling;NC1;2000-01-17 0:00:00;46;2;1
Zinfandel Blanc de Noir;NC2;2000-01-16 0:00:00;46;5;1
Riesling;NC2;2000-01-08 0:00:00;46;4;1
Chardonnay;MC1;2000-01-26 0:00:00;46;4;1
Blanc de Blanc Brut;NW2;2000-01-28 0:00:00;47;2;1
Cabernet Sauvignon;SW1;2000-01-08 0:00:00;47;2;1
Claret;NC2;2000-01-23 0:00:00;47;5;1
Zinfandel Blanc;MC2;2000-01-14 0:00:00;47;4;1
Pinot Noir;NW2;2000-01-24 0:00:00;48;4;1
Zinfandel Blanc;SW1;2000-01-09 0:00:00;48;2;1
Cabernet Sauvignon;MC3;2000-01-07 0:00:00;48;5;1
Zinfandel Blanc;NE3;2000-01-17 0:00:00;49;3;1
Brut--Reserve;SW1;2000-01-10 0:00:00;49;4;1
Riesling;MC1;2000-01-01 0:00:00;49;3;0
Brut--Reserve;MC3;2000-01-26 0:00:00;49;5;1
Brut--Reserve;MC3;2000-01-28 0:00:00;49;4;1
Blanc de Blanc Brut;NE2;2000-01-29 0:00:00;50;3;1
Blanc de Blanc Brut;SW3;2000-01-15 0:00:00;50;2;1
Claret;SW3;2000-01-13 0:00:00;50;3;1
Chardonnay;NC2;2000-01-13 0:00:00;50;3;1
Sauvignon Blanc;MC1;2000-01-15 0:00:00;50;2;1
Brut--Reserve;MC3;2000-01-10 0:00:00;50;2;1
Pinot Noir;MW3;2000-01-27 0:00:00;51;2;1
Zinfandel Blanc;MC1;2000-01-30 0:00:00;51;3;1
Blanc de Blanc Brut;NE2;2000-01-25 0:00:00;52;5;1
Merlot;NE2;2000-01-15 0:00:00;52;4;1
Sauvignon Blanc;NE2;2000-01-24 0:00:00;52;2;1
Blanc de Blanc Brut;ME1;2000-01-08 0:00:00;52;3;1
Brut--Reserve;NW3;2000-01-04 0:00:00;52;4;1
Pinot Noir;SW1;2000-01-06 0:00:00;52;1;1
Blanc de Blanc Brut;SW2;2000-01-04 0:00:00;52;1;1
Blanc de Blanc Brut;MC3;2000-01-23 0:00:00;52;5;1
Claret;SE2;2000-01-20 0:00:00;53;5;1
Chardonnay;SE3;2000-01-11 0:00:00;53;2;1
Riesling;MC2;2000-01-14 0:00:00;53;1;1
Riesling;ME2;2000-01-08 0:00:00;54;5;1
Riesling;SE3;2000-01-08 0:00:00;54;5;1
Cabernet Sauvignon;NW3;2000-01-18 0:00:00;54;2;1
Pinot Noir;MW2;2000-01-18 0:00:00;54;2;1
Merlot;NC2;2000-01-27 0:00:00;54;3;1
Riesling;NE3;2000-01-27 0:00:00;55;2;1
Brut--Reserve;SW2;2000-01-16 0:00:00;55;4;1
Merlot;MC3;2000-01-17 0:00:00;55;5;1
Cabernet Sauvignon;NE3;2000-01-11 0:00:00;56;2;1
Brut--Reserve;SW4;2000-01-12 0:00:00;56;2;1
Riesling;NC2;2000-01-29 0:00:00;56;2;1
Zinfandel Blanc;SE1;2000-01-10 0:00:00;57;1;1
Pinot Noir;NW2;2000-01-11 0:00:00;57;3;1
Claret;MW1;2000-01-12 0:00:00;57;4;1
Zinfandel Blanc de Noir;MC1;2000-01-04 0:00:00;57;2;1
Cabernet Sauvignon;SE2;2000-01-08 0:00:00;58;3;1
Cabernet Sauvignon;SE3;2000-01-15 0:00:00;58;4;1
Brut--Reserve;MW2;2000-01-31 0:00:00;58;2;1
Merlot;MW2;2000-01-22 0:00:00;58;2;1
Zinfandel Blanc;MW2;2000-01-27 0:00:00;58;3;1
Riesling;SW1;2000-01-01 0:00:00;58;4;0
Zinfandel Blanc de Noir;MC1;2000-01-14 0:00:00;58;2;1
Merlot;MC1;2000-01-27 0:00:00;58;5;1
Chablis;MC2;2000-01-29 0:00:00;58;3;1
Zinfandel Blanc;NE2;2000-01-22 0:00:00;59;2;1
Zinfandel Blanc de Noir;NE3;2000-01-25 0:00:00;59;3;1
Zinfandel Blanc;ME2;2000-01-17 0:00:00;59;4;1
Merlot;SE1;2000-01-21 0:00:00;59;3;1
Chablis;SE2;2000-01-05 0:00:00;59;4;1
Zinfandel Blanc de Noir;SW2;2000-01-04 0:00:00;59;1;1
Zinfandel Blanc de Noir;NC3;2000-01-20 0:00:00;59;4;1
Riesling;MC2;2000-01-02 0:00:00;59;4;1
Chablis;NE1;2000-01-12 0:00:00;60;4;1
Riesling;SE1;2000-01-16 0:00:00;60;4;1
Blanc de Blanc Brut;NW1;2000-01-03 0:00:00;60;2;1
Blanc de Blanc Brut;NC2;2000-01-25 0:00:00;60;5;1
Chablis;NC2;2000-01-03 0:00:00;60;2;1
Blanc de Blanc Brut;MC1;2000-01-21 0:00:00;60;4;1
Claret;MC2;2000-01-26 0:00:00;60;3;1
Pinot Noir;NW2;2000-01-23 0:00:00;61;2;1
Zinfandel Blanc de Noir;MW2;2000-01-05 0:00:00;61;1;1
Claret;MW2;2000-01-12 0:00:00;61;1;1
Merlot;MC2;2000-01-27 0:00:00;61;1;1
Chablis;MC2;2000-01-04 0:00:00;61;4;1
Blanc de Blanc Brut;NE1;2000-01-28 0:00:00;62;3;1
Claret;SE2;2000-01-03 0:00:00;62;4;1
Claret;SE2;2000-01-04 0:00:00;62;2;1
Chardonnay;SE2;2000-01-09 0:00:00;62;2;1
Riesling;MW2;2000-01-12 0:00:00;62;4;1
Blanc de Blanc Brut;MC1;2000-01-23 0:00:00;62;4;1
Claret;MC3;2000-01-06 0:00:00;62;4;1
Merlot;ME1;2000-01-21 0:00:00;63;3;1
Sauvignon Blanc;ME2;2000-01-11 0:00:00;63;1;1
Sauvignon Blanc;SE3;2000-01-16 0:00:00;63;3;1
Chardonnay;NW1;2000-01-23 0:00:00;63;5;1
Brut--Reserve;MW3;2000-01-22 0:00:00;63;5;1
Zinfandel Blanc;SW3;2000-01-05 0:00:00;63;2;1
Brut--Reserve;NC2;2000-01-16 0:00:00;63;3;1
Blanc de Blanc Brut;NC3;2000-01-09 0:00:00;63;5;1
Zinfandel Blanc de Noir;NW3;2000-01-23 0:00:00;64;3;1
Sauvignon Blanc;MW1;2000-01-10 0:00:00;64;1;1
Blanc de Blanc Brut;MW2;2000-01-24 0:00:00;64;1;1
Zinfandel Blanc de Noir;MW3;2000-01-27 0:00:00;64;4;1
Zinfandel Blanc de Noir;SW1;2000-01-28 0:00:00;64;4;1
Blanc de Blanc Brut;NC2;2000-01-28 0:00:00;64;3;1
Chablis;NC2;2000-01-24 0:00:00;64;3;1
Claret;SE1;2000-01-24 0:00:00;65;4;1
Sauvignon Blanc;SE2;2000-01-07 0:00:00;65;5;1
Zinfandel Blanc de Noir;MW1;2000-01-27 0:00:00;65;3;1
Blanc de Blanc Brut;MW1;2000-01-23 0:00:00;65;2;1
Pinot Noir;SW1;2000-01-12 0:00:00;65;1;1
Merlot;NE3;2000-01-31 0:00:00;66;2;1
Zinfandel Blanc;SE3;2000-01-15 0:00:00;66;3;1
Blanc de Blanc Brut;NW3;2000-01-22 0:00:00;66;2;1
Merlot;NW3;2000-01-02 0:00:00;66;5;1
Zinfandel Blanc de Noir;MW3;2000-01-09 0:00:00;66;1;1
Chardonnay;SW2;2000-01-08 0:00:00;66;2;1
Cabernet Sauvignon;NC1;2000-01-12 0:00:00;66;1;1
Brut--Reserve;MC2;2000-01-05 0:00:00;66;4;1
Riesling;SW1;2000-01-04 0:00:00;67;4;1
Blanc de Blanc Brut;NC2;2000-01-16 0:00:00;67;2;1
Cabernet Sauvignon;MC1;2000-01-09 0:00:00;67;4;1
Riesling;MC2;2000-01-21 0:00:00;67;4;1
Merlot;SE1;2000-01-01 0:00:00;68;3;0
Brut--Reserve;NW3;2000-01-14 0:00:00;68;3;1
Claret;MW1;2000-01-21 0:00:00;68;5;1
Sauvignon Blanc;NC1;2000-01-24 0:00:00;69;3;1
Riesling;NC3;2000-01-02 0:00:00;69;5;1
Pinot Noir;MC1;2000-01-28 0:00:00;69;2;1
Chablis;NE1;2000-01-05 0:00:00;70;2;1
Sauvignon Blanc;MW1;2000-01-18 0:00:00;70;2;1
Cabernet Sauvignon;SW4;2000-01-27 0:00:00;70;5;1
Cabernet Sauvignon;NC2;2000-01-24 0:00:00;70;3;1
Pinot Noir;MC2;2000-01-21 0:00:00;70;4;1
Riesling;NE1;2000-01-04 0:00:00;71;4;1
Chardonnay;ME1;2000-01-01 0:00:00;71;1;0
Sauvignon Blanc;MW1;2000-01-29 0:00:00;71;3;1
Merlot;SW3;2000-01-16 0:00:00;71;1;1
Sauvignon Blanc;NE2;2000-01-24 0:00:00;72;2;1
Claret;ME2;2000-01-21 0:00:00;72;1;1
Pinot Noir;SE1;2000-01-15 0:00:00;72;1;1
Cabernet Sauvignon;MC2;2000-01-23 0:00:00;72;4;1
Zinfandel Blanc de Noir;NE1;2000-01-30 0:00:00;73;3;1
Zinfandel Blanc;MW2;2000-01-28 0:00:00;73;5;1
Sauvignon Blanc;SW3;2000-01-04 0:00:00;73;2;1
Cabernet Sauvignon;SW4;2000-01-13 0:00:00;73;3;1
Merlot;MC3;2000-01-09 0:00:00;73;1;1
Zinfandel Blanc;NE1;2000-01-01 0:00:00;74;2;0
Brut--Reserve;ME1;2000-01-22 0:00:00;74;5;1
Cabernet Sauvignon;SW3;2000-01-08 0:00:00;74;2;1
Blanc de Blanc Brut;NC3;2000-01-12 0:00:00;74;1;1
Sauvignon Blanc;MC2;2000-01-04 0:00:00;74;4;1
Claret;SE1;2000-01-14 0:00:00;75;3;1
Zinfandel Blanc;MW3;2000-01-04 0:00:00;75;3;1
Claret;NC1;2000-01-18 0:00:00;75;2;1
Zinfandel Blanc;NC2;2000-01-20 0:00:00;75;2;1
Pinot Noir;NC3;2000-01-06 0:00:00;75;4;1
Brut--Reserve;NW3;2000-01-16 0:00:00;76;4;1
Blanc de Blanc Brut;MW3;2000-01-14 0:00:00;76;3;1
Cabernet Sauvignon;SW1;2000-01-23 0:00:00;76;3;1
Cabernet Sauvignon;SW2;2000-01-16 0:00:00;76;4;1
Brut--Reserve;SW3;2000-01-01 0:00:00;76;4;0
Pinot Noir;NC2;2000-01-12 0:00:00;76;3;1
Zinfandel Blanc de Noir;NE2;2000-01-30 0:00:00;77;3;1
Chablis;SE2;2000-01-13 0:00:00;77;2;1
Chablis;NC1;2000-01-10 0:00:00;77;1;1
Brut--Reserve;MC2;2000-01-02 0:00:00;77;2;1
Cabernet Sauvignon;MC3;2000-01-09 0:00:00;77;3;1
Blanc de Blanc Brut;NE3;2000-01-23 0:00:00;78;1;1
Merlot;NE3;2000-01-23 0:00:00;78;3;1
Zinfandel Blanc;NE3;2000-01-05 0:00:00;78;5;1
Cabernet Sauvignon;SE3;2000-01-29 0:00:00;78;2;1
Cabernet Sauvignon;NW1;2000-01-10 0:00:00;78;4;1
Chardonnay;NW2;2000-01-03 0:00:00;78;4;1
Merlot;NW3;2000-01-26 0:00:00;78;4;1
Chablis;MW3;2000-01-31 0:00:00;78;1;1
Zinfandel Blanc de Noir;SW4;2000-01-16 0:00:00;78;4;1
Chardonnay;MC2;2000-01-24 0:00:00;78;4;1
Zinfandel Blanc de Noir;MW3;2000-01-22 0:00:00;79;2;1
Brut--Reserve;SW1;2000-01-06 0:00:00;79;3;1
Zinfandel Blanc de Noir;NW2;2000-01-20 0:00:00;80;2;1
Brut--Reserve;MW2;2000-01-11 0:00:00;80;1;1
Chardonnay;SW1;2000-01-03 0:00:00;80;1;1
Chablis;NE1;2000-01-16 0:00:00;81;3;1
Pinot Noir;MW1;2000-01-12 0:00:00;81;3;1
Claret;NW1;2000-01-24 0:00:00;82;4;1
Chablis;SW2;2000-01-01 0:00:00;82;3;0
Cabernet Sauvignon;SW3;2000-01-12 0:00:00;82;4;1
Pinot Noir;SW3;2000-01-05 0:00:00;82;2;1
Riesling;NE2;2000-01-12 0:00:00;83;2;1
Chablis;MC1;2000-01-13 0:00:00;83;5;1
Blanc de Blanc Brut;SW1;2000-01-12 0:00:00;84;4;1
Pinot Noir;SW1;2000-01-14 0:00:00;84;4;1
Merlot;SW2;2000-01-02 0:00:00;84;2;1
Claret;SW3;2000-01-22 0:00:00;84;4;1
Zinfandel Blanc;SW4;2000-01-13 0:00:00;84;3;1
Brut--Reserve;NC1;2000-01-21 0:00:00;84;5;1
Zinfandel Blanc de Noir;NC2;2000-01-22 0:00:00;84;4;1
Pinot Noir;MC2;2000-01-02 0:00:00;84;3;1
Riesling;ME2;2000-01-02 0:00:00;85;4;1
Zinfandel Blanc de Noir;NW2;2000-01-24 0:00:00;85;4;1
Zinfandel Blanc de Noir;NW3;2000-01-28 0:00:00;85;1;1
Riesling;MW1;2000-01-22 0:00:00;85;2;1
Pinot Noir;SW2;2000-01-10 0:00:00;85;2;1
Claret;SW2;2000-01-26 0:00:00;85;1;1
Brut--Reserve;SW3;2000-01-15 0:00:00;85;1;1
Chablis;NW2;2000-01-18 0:00:00;86;4;1
Zinfandel Blanc de Noir;MW1;2000-01-09 0:00:00;86;4;1
Claret;MW1;2000-01-18 0:00:00;86;4;1
Sauvignon Blanc;MW2;2000-01-27 0:00:00;86;3;1
Cabernet Sauvignon;ME1;2000-01-17 0:00:00;87;2;1
Brut--Reserve;MW2;2000-01-24 0:00:00;87;3;1
Brut--Reserve;NC3;2000-01-18 0:00:00;87;1;1
Brut--Reserve;MC1;2000-01-22 0:00:00;87;1;1
Merlot;MC2;2000-01-27 0:00:00;87;2;1
Cabernet Sauvignon;MC3;2000-01-20 0:00:00;87;4;1
Claret;SE3;2000-01-09 0:00:00;88;1;1
Pinot Noir;MC1;2000-01-29 0:00:00;88;3;1
Merlot;ME2;2000-01-13 0:00:00;89;1;1
Zinfandel Blanc;NW1;2000-01-09 0:00:00;89;1;1
Zinfandel Blanc de Noir;NE2;2000-01-25 0:00:00;90;3;1
Merlot;SW1;2000-01-09 0:00:00;90;4;1
Chablis;SW2;2000-01-20 0:00:00;90;3;1
