kunde,artikel,artikelbezeichnung
00393,32,"LIG BAB R11 OF Opt+1Yr Enterpr Mnt GLP Brightstor Arcserve R11 Open Fi"
00179,2590,"Inventor Series 6 AIS ital. CD WNT Inventor Series 6 AIS ital. CD WNT"
00179,456,"VGA G200 Multi Monitor,Dual PCI, 16MB VG"
00179,1649,"LIG BAB R11 Open File Opt +2Yr Value Mnt GLP Brightstor Arcserve R11 Open Fi"
00179,2441,"MILLENNIUM G450 DH 32MB DDR AGP-Anschluss"
00386,1006,"""Monitor 19"""" /47cm LG 901B FST.26 98kHz TC"""""""
00386,119,"Lexware Zusatzlizenz für PRO-Line 5u 5er Lizenz pro-Reihe 1.0 dt. Win Ne"
00386,771,"LIG BAB R11 Clt Ag MAC +1Yr Value Mnt GLP Brightstor Arcserve R11 e. Clie"
00386,660,"SW pcAnywhere Host und Remote 11.0 10U dt. CD 10User W32 (2 Remote + 10 Ho"
00386,1173,"SW FLASH MX V6.0 WIN GR WIN-32 MACROMEDIA FLW060G000"
00386,1311,"""LCD Display 19"""" Sony S93/ 80kHz TCO03 19"""""""
00658,1227,"SO-A MSI KT4VL ATH SocketA FSB333 AC97 N"
00658,1745,"GLP Up/ARCs v9-2000>R11 DRO/NON +1Yr Val GLP Up Brightstor Arcserve R11 Disa"
00658,1604,"LDT Survey 3 engl. CD WNT LDT Survey 3 engl. CD WNT"
00658,962,"IBM Remote Deployment Manager 20 client IBM Remote Deployment Manager 20 cl"
00658,2185,"VGA 32MB Millennium G550 DH Bulk ! Matr"
00727,2485,"SW Backup Exec 9.1 W2NT SQL Agent+Client incl. Remote Client Agent/ 9.1/ int"
00727,746,"D865GLC/mPGA478 i865G uATX MB D865GLC/mP"
00485,893,"VGA A9550/TD/128MB,1*DVI,2*VGA, 8x AGP V"
00485,1603,"AutoCAD 2004 dt. CD NLS Server dt. AutoCAD 2004 dt. CD NLS Server dt."
00485,1540,"LIG BAB R11 Lotus Notes +2Yr Enterpr Mnt GLP Brightstor Arcserve R11 Lotus N"
00485,1088,"""170P5ES 17"""" TFT.264 DVI-D/VGA silv. TCO03"""""""
00485,881,"Land Desktop 2005 engl. Legacy Folgel. Land Desktop 2005 engl. Legacy Folg"
00485,624,"LCD_Eizo Monitorarm (2 Gelenke)"
00806,2674,"Lexware College Warenw. PRO 2004 1.0 dt Lexware College Warenwirtschaft PRO"
00806,2133,"Lasejet 3020 Scanner/Kopier/Drucker Lase"
00806,2503,"LaserJet 3020 All-in-One Multifun ktions"
00806,1157,"Color LaserJet 4650DTN 22S 288 MB A4 HP "
00806,1992,"P4 Intel_S845WD1E PE4 ATX FSB533 SVR, In"
00806,643,"SW Pinnacle Instant Copy Software dt. Pinnacle Systems 202261301"
00806,1106,"GLP Brightstor Arcserve R11 Server Editi GLP Brightstor Arcserve R11 Server"
00806,1895,"Backup Exec 9.1 W2NT Server engl. Backup Exec Svr v9.1/EN CD W2NT, Fu"
00806,2101,"""LCD Display 17"""" Sony X73 DVI-D/2x TFT.26"""""""
00005,1173,"SW FLASH MX V6.0 WIN GR WIN-32 MACROMEDIA FLW060G000"
00418,2263,"Genius HV Inventor 7 Einzelpl.dt. Genius HV Inventor 7 für 6 User dt."
00418,473,"875P Neo-FISR ATX S478 AGP8x FSB800 MB 8"
00418,501,"Flash MX 2004 Pro/EN CD CrPf Flash MX 2004 EN Prof.Com. EN/ 200"
00418,1536,"SW MS Word 2001 Macintosh Edition D Word 2001 für den Mac wurde mit der"
00418,1401,"David Home V8 dt Win 1User - Sub-Liz David Home V8 dt Win 1User - Subsc"
00418,2087,"LIG BAB R11 e. Clt Ag LX GLP Brightstor Arcserve R11 e. Clie"
00418,2203,"""HD Hornet/80GB IDE 2.5"""" 5400rpm Z40 HD H"""""""
00418,1173,"SW FLASH MX V6.0 WIN GR WIN-32 MACROMEDIA FLW060G000"
00418,1793,"Lexware Warenwirtschaft PRO 2004 4.0 dt Lexware Warenwirtschaft PRO 4.00 20"
00418,1378,"VGA Millennium G550 AGP DH 32MB Retail M"
00418,878,"SW MS WORKS 7.0 D (3-er Pack) 3er Pack, Vom Umtausch ausgeschloss"
00251,1104,"LIG BAB R11 Clt Ag MAC +3Yr Value Mnt GLP Brightstor Arcserve R11 e. Clie"
00251,1735,"C++Builder X Enterprise e. CD W32 C++Builder X Enterprise e. CD W32"
00251,2636,"LIG BAB R11 Image Opt +1Yr Value Mnt GLP Brightstor Arcserve R11 Image O"
00251,21,"""LCD Display 18"""" Eizo CG18-K (schwarz) 18"""""""
00545,2154,"JBuilder Foundation X e. CD JBuilder Foundation X e. CD Win/Lin"
00101,1073,"D865PERLK/S478 i865PE ATX AGP8x GbLAN MB"
00101,1627,"""Monitor 21"""" /53cm Iiyama MS103DT 21 """"/ FS"""""""
00101,2133,"Lasejet 3020 Scanner/Kopier/Drucker Lase"
00101,868,"Land Desktop 3 dt. CD WNT Land Desktop 3 dt. CD WNT"
00101,1385,"Lasejet 4200 48MB 33S 1200dpi A4 dt. Las"
00101,81,"PC890 Kopierer A4 12ppm ADF (ML) Canon "
00168,395,"""FE991SB 19"""" DTR-NF.25 96kHz TCO03 FE991SB"""""""
00168,2061,"Lasejet 4300N Laserdrucker, mit Lasejet "
00168,2188,"""LCD Display 17"""" Iiyama PROLITE H430 17 """""""
00041,1780,"SW Macromedia Flash MX 2004 D nutzen Sie die Graceperiod - jetzt"
00041,94,"VGA AGP_128MB Matrox PARHELIA DH Bulk 51"
00121,498,"LIG BAB R11 Clt Ag Win +1Yr EnterprMnt GLP Brightstor Arcserve R11 Client"
00121,957,"FrameMaker Shared 7.1 e CD Ux (Solaris) FrameMaker Shared 7.1 e CD Unix (So"
00121,1148,"""LCD Display 19"""" FSC C19-1 80kHz TCO99 an"""""""
00121,927,"Catalyst 6000 MSFC2 IOS DESKTOP W/VIP Catalyst 6000 MSFC2 IOS DESKTOP W/V"
00121,1530,"GLP UP BrightStor ARCs v9 NW dt. COM +1 GLP UP BrightStor ARCs v9 NW dt. CO"
00121,2534,"Client Security Business Pk v2/EN CD 5u Client Security 2:0 BUSINESS PACK E"
00416,260,"""170B5CG 17"""" TFT.264 DVI-D/VGA TCO03 170B5"""""""
00169,963,"AF1 v1.0,SockA,KT600,ATX MB AF1 v1.0 Soc"
00169,1507,"Backup Exec 9.1 NW Server dt. Backup Exec 9.1 NW Server dt. Lize"
00169,1669,"AutoCAD LT 2005 nord. verschied.Sprachen AutoCAD LT 2005 nord. verschied.Spr"
00509,1542,"""Monitor 22"""" /55cm Iiyama HM204DT, 140KHz """""""
00509,2356,"ADF 500BL A4 ColorLaserjet4600 Fujitsu-"
00509,1101,"Cisco 800 CAPI Software 5-User Cisco 800 CAPI Software 5-User 5 U"
00509,889,"MS Windows XP Pro cz. CD WXP MS Windows XP Pro cz. CD WXP"
00509,457,"Laserjet3320N MFP USB PAR Fujitsu-Sieme"
00382,2267,"SW Symantec pcAnywhere Host+Remote 11.0e englisch !!! (hiess früher Base)/ 1"
00382,1902,"""LCD Display 19"""" L1910S silber 16ms TCO99"""""""
00382,723,"Inventor Series 7 NLS Add.Lic.engl. Inventor Series 7 NLS Add.Lic.engl."
00779,803,"LaserJet5100DTN A3 PAR Fujitsu-Siemens "
00779,2429,"MS Small Bus. SvrUser CAL 2003 en. CD 5u MS Small Business Server User CAL 2"
00779,2333,"""Monitor 17"""" /43cm Belinea 103026, 70Khz 1"""""""
00779,232,"GF FX5200-TD128 128MB DDR AGP8X DVI/TVO "
00779,966,"Inventor Series 7 engl. CD WNT Inventor Series 7 engl. CD WNT Voll"
00424,342,"GLP UP BrightStor ARCs v9 NW dt. CROSS GLP UP BrightStor ARCs v9 NW dt. CR"
00424,2552,"MS SBS Device CAL Trans.Pack 2003 dt. 5u MS SBS Device CAL Transition Pack 2"
00071,1553,"SW Macromedia Studio MX Plus WIN D http://www.macromedia.com/de/softwa"
00071,1712,"HDD 36.4 GB U320 10000RPM IBM HDD 36.4 G"
00071,2019,"P4 Gigabyte 8KNXP ,Intel 875P,478 Socket"
00594,1453,"EPL-N3000/T/DT Papierkasette 550 B EPSON"
00594,2077,"LaserJet 9050/ml 64MB 50S A4 28S A3 HP L"
00594,1909,"ASUS V9999GT TD 6800GT 128MB DDR RTL DVI"
00594,82,"Cisco 4000 IOS Basic L3 Software Cisco 4000 IOS Basic L3 Software"
00356,639,"Architectural Desktop NLSSidegradeGebühr ADT NLS Sidegrade-Gebühr Update von"
00356,990,"D925XCVLK,ATX,925X,DDR2-533,LGA775 Bu MB"
00356,1328,"SW Flash 5.0 d. WIN MACROMEDIA FLW50G01"
00082,915,"HD HandyDrive 40GB USB2.0 4200rpm HD Han"
00082,134,"EAX300TD/128 RADEON X300 128MB DDR PCI-E"
00082,527,"JBuilder Developer Edition X dt. CD JBuilder Developer Edition X dt. CD"
00082,1163,"LaserBase MF5650 Laserdrucker, CANON Las"
00082,2622,"EAX300SE/128 RADEON X300SE 128MB DDR PCI"
00082,2195,"MS Windows 2000 Pro holl. CD MS Windows 2000 Pro holl. CD"
00544,2290,"LI BrSt ASCSrv BU v9 ClAg Lin/CoUp Mnt1Y BrightStor ARCserve Backup v9 Clien"
00544,869,"THINKPAD 40GB MINI HDD 1.8IN Festplatte "
00544,1069,"Cisco 2600XM Ser IOS ENT PLUS Feature Pa Cisco 2600XM Ser IOS ENT PLUS Featu"
00544,536,"Acrobat Std 6.0 it. CD Win Acrobat Std 6.0 it. CD Win"
00544,411,"LIG BAB R11 MS SQL +1Yr Value Mnt GLP Brightstor Arcserve R11 MS SQL"
00428,1552,"Fireworks MX 2004/EN CD CrPf Fireworks MX 2004 EN Com. EN/ 2004"
00428,370,"Acrobat Std 6.0 nl. CD Win Acrobat Std 6.0 nl. CD Win"
00324,1276,"Lexware Reisekosten 2004 11.0 dt CD Lexware Reisekosten 11.00 2004 dt."
00324,1366,"""150B5CG 15"""" TFT.297 DVI-D/VGA Audio TCO03"""""""
00324,14,"LIG BAB R11 e. IF Agent +1Yr Enterpr Mnt GLP Brightstor Arcserve R11 e. Info"
00324,1827,"C#Builder Professional 1.0 e. CD W32 C#Builder Professional 1.0 e. CD W3"
00324,566,"CUG Arch.Desktop 3.3 NLS v.LTdt.Folgel. ADT 3.3 CrossUG NLS von LT dt. CD"
00505,1078,"Care Pack 3J 13x5x4 f LaserJet 9000MF HP"
00505,2038,"""Acer 19"""" AL1921hs TCO99 silber/ schwarz """""""
00505,2555,"A9600XT/TD/128 RADEON 9600XT 128 MB/ Spe"
00505,1354,"MAXLINE III 250GB IDE Schnittstelle: S-A"
00505,804,"Mac OS X Svr v10.3/DE CD Mac 10u-unI Mac OS X Server v10.3 dt. (10 to un"
00505,2107,"SW MS Office XP Standard dt. CD W32 Microsoft 021-04492"
00505,1608,"""101711/17"""" TFT.264 75Hz 1280x1024 TCO99 """""""
00669,1456,"K7S8X, SIS746FX ATX, Athlon XP bis 2800,"
00669,2118,"Bor Together Control Center 6.2dt CD Borland Together Control Center 6.2"
00669,1678,"AcuLaser C4100 Papierkasette 500 B EPSON"
00669,1125,"HDD 40 GB USB 2.0 mit Rapid Restore IBM "
00669,791,"HP AutoStore 2000 f. HP9100 10er Lizenz HP AutoStore 2000 f. HP9100 10er Li"
00669,94,"VGA AGP_128MB Matrox PARHELIA DH Bulk 51"
00635,2087,"LIG BAB R11 e. Clt Ag LX GLP Brightstor Arcserve R11 e. Clie"
00635,490,"SW Tobit Info Center PDA Synchronisation dt. NW/W 32, pro Client , Tobit 829"
00635,1738,"""LCD Display 22.2"""" Iiyama AQU5611DTBK 56c"""""""
00635,2677,"VGA 64MB Millennium P750 DDR 256GPU Reta"
00635,538,"VGA G450 MultiMonitor Quad,PCI,128MB,DVI"
00732,2542,"SW McAfee VirusScan Pro 8.0 e CD englisch !!!, CD 1User W98/ME/2000"
00474,1887,"Inventor Series 6 NLSv.Inv.5 dt.Folgel. CUG Inventor Series 6 NLS v. Invent"
00474,1172,"BrightStor ARCserve v9 NW e. Server BrightStor ARCserve v9 NW e. Server"
00474,1151,"Crystal Analysis Professional 8.5 dt. CD Crystal Analysis Professional 8.5 d"
00474,699,"Li/Rnw Chrystal Reports Prof v10 EFIGS B Li/CRYSTAL REPORTS 10, Professional"
00474,665,"LIG BAB R11 OF Opt+3Yr Enterpr Mnt GLP Brightstor Arcserve R11 Open Fi"
00474,405,"SW AVM UP KEN!/KEN!DSL v1/2 auf KEN! 3 AVM 20001516"
00647,1505,"GLP UP BrightStor ARCs v9 NW dt. SAN GLP UP BrightStor ARCs v9 NW dt. SA"
00647,2038,"""Acer 19"""" AL1921hs TCO99 silber/ schwarz """""""
00647,1773,"GLP/ARCs Clt Ag LX R11/EN W32 +3Yr Val GLP Brightstor Arcserve R11 e. Clie"
00647,673,"LIG BAB R11 e. Clt Ag LX +3Yr EnterprMnt GLP Brightstor Arcserve R11 e. Clie"
00647,319,"ELOoffice 6.0 5 User Lizenz deutsch ELOoffice 6.0 5-Platz-Lizenz ***Neu"
00181,1652,"SW SVS- Prime Support Connect add 1Y multi, 10 User Prime Support Connec"
00181,2356,"ADF 500BL A4 ColorLaserjet4600 Fujitsu-"
00181,620,"CUG Arch. Desktop 2004NLSv.LTdt.Folgel. ADT 2004 CrossUG NLS von LT dt. CD"
00181,150,"Inventor Series 6 Server NLS AIS dt. Inventor Series 6 Server NLS AIS dt"
00181,1968,"HD DiamondMax/300GB PATA 7200 16MB Ret H"
00121,2058,"P80 80GB 8MBKapazität: 80 GB/ UDMA/133/ "
00121,1688,"Deploycenter Library v2/DE CD W32 10u Deploycenter Library 2 DT. CD W32"
00184,1766,"P80 120GB 2MBKapazität: 120 GB/ UDMA/133"
00184,381,"""E70f+SB 17"""" FST-NF.25 72kHz TCO99 OSD E70"""""""
00184,2165,"AutoCADSUBSKRIPTION dt (2Jahre) AutoCAD SUBSKRIPTION dt. Wartungsve"
00184,2442,"SW SAGE KHK PC Kaufmann 2004 D V7.0 Startpaket/ 7.0/ deutsch/ Voll"
00812,1220,"Borland Studio for C++ e. CD W32 Borland Studio for C++ e. CD W32"
00812,1821,"Cat 4000, L3 IPX License Cisco Catalyst 4000, Layer3 Enhanc"
00812,77,"SW Dragon Naturally Speaking 7.0 Preferr dt. CD W32 Scansoft A109P-W00-7.0"
00141,2469,"HDD 40 GB ATA/100 EIDE SL IBM HDD 40GB A"
00141,1988,"D-View v5.1 SNMP Mgmt SE/EN 256 Nodes D-View 5.1 SNMP Management, Standar"
00035,205,"D865GRH/S478 i865G ATX DDR400 FSB800 MB "
00035,1992,"P4 Intel_S845WD1E PE4 ATX FSB533 SVR, In"
00035,2680,"Li/Bdl Chrystal Ent v10 EFIGS 5u Li/CRYSTAL ENTERPRISE 10 Pro, Win,"
00035,1947,"CAD UG LDT 2004 NLS v. LDDT 2i dt. CD CAD UG LDT 2004 NLS v. LDDT 2i dt."
00343,1255,"LaserJet5100TN A3 PAR Fujitsu-Siemens "
00343,102,"SW MS Project Pro UP 2002 dt. CD /VPUP Microsoft H30-00184"
00343,1208,"Contribute 3.0 dt CD mlp Contribute 3.0 dt CD mlp - (Win/Mac"
00343,1839,"HD Atlas 15K II/147GB U320 68pin 15krpm "
00343,568,"Client Security SMB 1.1 e. 25U CD W32 Client Security SMB 1.1 e. 25U CD W"
00496,2609,"ARCs Bup Exch PremAddon R11.1/NON CD W32 Brightstor Arcserve R11 MS Exchange"
00496,1271,"""FE990 19"""" FST-NF.25 96kHz TCO99 OSD FE990"""""""
00496,515,"Cisco 2600 Enterprise/FW Plus 3DES FP Cisco 2600 Enterprise/Firewall Plus"
00496,724,"Borland Kylix Ent.3.0 fr. CD Lx Borland Kylix 3 Ent. fr. CD Lx"
00496,1035,"VGA 256MB FX5700 Asus V9570/TD/P GF 256M"
00762,2599,"GLP Model Navigator 4.1.4 e. +3Yr Mnt GLP AllFusion Model Navigator 4.1.4"
00023,82,"Cisco 4000 IOS Basic L3 Software Cisco 4000 IOS Basic L3 Software"
00023,1417,"SW Symantec pcAnywhere H+R 11.0 dt 5U CD (Bezeichnung früher BASE) Host und"
00023,2382,"C#Builder Personal 1.0 dt. CD W32 C#Builder Personal 1.0 dt. CD W32"
00023,1834,"MS Win Svr f. SB User CAL 2003 en. 5Clt MS Win Svr f. SB User CAL 2003 en."
00773,1681,"""SM795DF/17"""" FST .27 70kHz TCO03 SM795DF/"""""""
00773,621,"SW Backup Exec 9.0 Server W2NT Full Pack Produkt dt. CD, V9.0 SRV sichert e"
00773,457,"Laserjet3320N MFP USB PAR Fujitsu-Sieme"
00773,932,"Corel Designer 10.0 e. CD W32 Corel Designer 10.0 e. CD W32 10.0"
00773,2661,"""SW TOBIT Extended Telephony Modul für DvISE; Win 98/NT/2000/ME/XP, T"""""""
00414,1137,"SW SUSE LINUX Open Exch Svr E 1 Jahr Standard Support für 10 Clie"
00414,2264,"Backup Exec 9.1 W2NT Admin Plus Pack Opt Backup Exec Admin Plus Pack Option"
00414,2115,"Lancom Advanced VPN Client (25 Lizenzen) Lancom Advanced VPN Client (25 Lize"
00414,993,"C++BuilderX Mobile Edition dt. CD W32 C++BuilderX Mobile Edition dt. CD W"
00414,913,"HDD 40 GB ATA/100 EIDE SL Hard Disk IBM "
00059,216,"eTrust Avirus v7.1/DE CD WNT 10u eTrust Antivirus v7.1 dt. - 10 User"
00059,118,"""Monitor 19"""" /47cm Iiyama LS902UT, 95Khz V"""""""
00059,544,"Monitorlautsprecher (PX-42VM1U-S1-S) Mon"
00059,281,"FSC RemoteView Software V3.0 FSC RemoteView Software V3.0"
00059,28,"Li/Dynamic Access Boot Svcs/EN CrPf 10u Li/Dynamic Access Boot Svcs/EN CrPf"
00059,1949,"""SW Symantec AntiVirus Multi-Tier Protect tion, Business Pack 5 User; R4; WIN"""""""
00801,1681,"""SM795DF/17"""" FST .27 70kHz TCO03 SM795DF/"""""""
00801,1003,"HD/80GB SATA 7200rpm f xSeries HD/80GB S"
00801,1302,"MS Windows XP Pro dän. CD MS Windows XP Pro dä. CD"
00801,2081,"Inventor Series 8 dt. CD WNT Inventor Series 8 dt. CD WNT Vollve"
00801,1575,"LaserJet 9000N 64MB 50S 600dpi A3 dt. HP"
00519,2416,"Color LaserJet 3700DTN 128MB 16S HP Colo"
00024,2180,"""Monitor 19"""" /47cm Samsung SyncMaster 957p"""""""
00024,1074,"A8V DELUXE S939 K8T800Pro ATX 4DDR MB A8"
00024,1591,"VIEWSONIC P225F 22Zoll CRT 127kHz 127kHz"
00024,282,"LaserJet4200DTNSL A4 PAR Fujitsu-Siemen"
00024,773,"""IBM 22"""" CRT C220p 130kHz TCO99 schwarz"""
00024,2342,"MATROX G450 MM 2x32MB SGRAM PCI RTL (DE)"
00404,175,"HD Allegro AL 8LE/36,7GB U320 80p 10krpm"
00404,662,"""LCD Display 15"""" Eizo L367 weiß 15 """"/ dig"""""""
00404,200,"HP BEST Software RIP f DesignJet 120 HP BEST Software RIP f DesignJet 12"
00404,2310,"AutoCAD 2004 engl. CDWNT Vollversion AutoCAD 2004 engl. CD WNT Vollversi"
00404,2152,"Backup Exec 9.1 W2NT SBS Standard, engl. Backup Exec SBS Standard v9.1/Engl."
00404,150,"Inventor Series 6 Server NLS AIS dt. Inventor Series 6 Server NLS AIS dt"
00208,1524,"XEON/S603 Intel SWV2 2xPEX SCSI Server, "
00208,942,"""Monitor 21"""" /53cm Samsung CRT 1100 2048x1"""""""
00208,1011,"HV Mechsoft f. AIS 7.2 opti+DBLink dt. HV Mechsoft f. AIS 7.2 opti+DBLink"
00637,1404,"""LCD Display 15"""" NEC 1560NX 60kHz 1024x76"""""""
00637,1258,"SW SUSE 9.0 LINUX 32BIT Personal- Edition, 32-bit, Version 9.0/ 9.0/"
00637,2434,"HP Colormanagement Software RIP f Design HP Colormanagement Software RIP f D"
00637,2148,"""LCD Display 17"""" Neovo F-417 weiß 17 """"/ a"""""""
00637,186,"Lexware Zusatzlizenz für PRO-Line 3u 3er Lizenz pro-Reihe 1.0 dt. Win Ne"
00597,1203,"Client Sec 2 GPWR Prot. B.Pack PL CD 25U Client Security 2.0 BUSINESS PACK G"
00597,1952,"Cisco 3640 Ser IOS ENT/FW/IDS IPSEC 3DES Cisco 3640 Ser IOS ENT/FW/IDS PLUS"
00597,671,"LIG BAB R11 NAS Option +1Yr Enterpr Mnt GLP Brightstor Arcserve R11 NAS Opt"
00597,2520,"DOKU Backup Exec 9.1 W2NT deutsch DOKU Backup Exec 9.1 W2NT deutsch"
00597,1378,"VGA Millennium G550 AGP DH 32MB Retail M"
00454,2493,"EPL-N205x Grossraumpapierbehaelter EPSON"
00454,2319,"Cisco 3725 Ser IOS IP/IPX/APPLETALK Feat Cisco 3725 Ser IOS IP/IPX/APPLETALK"
00454,2625,"SW Borland DELPHI 7 ENT D Update Upgrade Delphi 3-6 Professional auf"
00454,1458,"Cisco 1600 IP/Firewall Feature Pack Cisco 1600 IP/Firewall Feature Pack"
00454,1190,"""LCD Display 17"""" NEC 1760NX 17 """" LCD/ dig"""""""
00454,133,"3D VIZ 2005 NLS Master engl. CD WNT 3D VIZ 2005 NLS Masterlizenz Netzwe"
00084,1721,"925X NEO Plat. LGA775 4GB PCI Xpress MB "
00084,2036,"LI CAD Land Desktop 2004 NLS dt. LI CAD Land Desktop 2004 NLS dt. Er"
00084,1391,"HP TOP Microsoft Office Kit SBE 2003 HP TOP Microsoft Office Kit SBE 200"
00084,24,"M40 40GB IDE UATA100 Kapazität: 40 GB/ 5"
00449,2386,"Illustrator CS 11.0 dt. CD Mac Illustrator CS 11.0 dt. CD Mac 11/"
00449,2278,"SW Norton AntiVirus SMB WS+NSvr 8.1 25U 25User CD W32, Business Edition für"
00449,1645,"HD Allegro AL 8LX/73,5GB U320 68p 15krpm"
00449,1169,"Novell SuSE Linux Prof. 9.1 dt. CD Novell SuSE Linux Professional 9.1"
00449,106,"CUG ADT2004v.AutoCAD04/02/2000i dt. CUG Architectural Deskop 2004 v.Aut"
00449,1725,"LIG BAB R11 DRO +1Yr Enterpr Mnt GLP Brightstor Arcserve R11 Disaste"
00688,1703,"Lasejet Color 2500L 64MB 16S 600dpi A4, "
00688,1540,"LIG BAB R11 Lotus Notes +2Yr Enterpr Mnt GLP Brightstor Arcserve R11 Lotus N"
00688,1106,"GLP Brightstor Arcserve R11 Server Editi GLP Brightstor Arcserve R11 Server"
00688,1695,"BrightStor ARCserve 2000 e. W2NT Lotus BrightStor ARCserve 2000 e. W2NT Lo"
00688,116,"SW Adobe Creative Suites Premium UP E Upsell von Adobe Photoshop - inkl."
00688,2483,"GLP UP BrightStor ARCs v9 NW dt. Srv +1 GLP UP BrightStor ARCs v9 NW dt. Sr"
00299,214,"""LCD Display 20"""" Apple Cinema 1680x1050 A"""""""
00299,1674,"915P-A,S775,I915,DDR&DDR2,AGP&PCIX MB 91"
00299,1025,"Care Pack 12Plus f.Color LaserJet HP Car"
00299,754,"MAXTOR DiamondMax+9 40GB HDD 7200rpm 8MB"
00299,2162,"AutoCAD 2005 engl. NLS Add. Licence AutoCAD 2005 engl. NLS Add. Licence"
00299,2249,"MS Small Business Sv 2003 en CD DVD 5Clt MS Small Business Server 2003 en. C"
00299,2603,"Color LaserJet 5500DTN/DE 160MB 22S HP C"
00299,2376,"Land Desktop 2004 engl. Legacy Folgel. LandDesktop2004 eng.Legacy Folgeliz"
00299,1925,"Inv.Series 9 NLS Sidegrade dt.CD Inv.Series 9 NLS Sidegrade dt. Wech"
00299,1228,"915G Combo-FR PCI Ex 2GB DDR2 MB 915G Co"
00102,409,"CUG ADT2005v.ACAD05/04/02/2000i dt.+Subs CUG Architectural Deskop 2005 v.ACA"
00400,862,"""IBM C170 17"""" CRT .25 85kHz TCO99 black"""
00400,2074,"AcuLaser C4100 64MB 24ppm A4 EPSON AcuLa"
00400,831,"Monitorlautsprecher (PX-50XM1U-S1) f. 50"
00504,697,"FSC RemoteView Software 3.10 FSC RemoteView Software 3.10 RXx00"
00504,600,"36.4GB 15KRPM 2GB FC HS SL HDD F/ EXP700"
00504,2429,"MS Small Bus. SvrUser CAL 2003 en. CD 5u MS Small Business Server User CAL 2"
00504,2425,"CAD Land Desktop 2005 NLS engl.Server CAD Land Desktop 2005 NLS engl.Serv"
00604,1066,"""Monitor 17"""" /43cm Samsung Syncm. 755DFX T"""""""
00604,2222,"VGA MSI GeForce FX5200-TD128 AGP8x VGA M"
00604,1659,"GLP UP eTrust Antivirus v7 dt. >750u +1 GLP UP eTrust Antivirus v7 dt. >750"
00604,285,"EPL-N3000T/ 34S. 1200dpi A4 inkl. EPSON "
00311,594,"AntiVirus MTP SMB R4 PL CD 25U AntiVirus SMB MULTI Tier Protection"
00311,1608,"""101711/17"""" TFT.264 75Hz 1280x1024 TCO99 """""""
00311,1051,"Lasejet Color 3700 64MB 16S A4, Laser co"
00749,1729,"TOP x235 Xeon 3.0 1GB nHD CD IBM TOP x23"
00018,386,"""LCD Display 17"""" V7 NF-1700MAFS 16ms anal"""""""
00018,1566,"Lexware College L+G PLUS 2004 4.0 dt Lexware College Lohn + Gehalt PLUS"
